use_case,n_pos,n_neg,policy,auc,auc_sd,auc_gain
nykvist_evcharging,10,10,hard,0.5582954545454546,0.06382211824216506,-0.303873106060606
nykvist_evcharging,10,10,mixed,0.8524696969696969,0.016593561042721118,-0.009698863636363741
nykvist_evcharging,10,10,random,0.9119526515151517,0.014221004857838483,0.04978409090909108
nykvist_evcharging,10,10,easy,0.9268750000000001,0.01030110310908515,0.0647064393939395
nykvist_evcharging,10,20,hard,0.6669053030303032,0.054589042913690815,-0.19526325757575747
nykvist_evcharging,10,20,mixed,0.8719962121212121,0.011853163977162936,0.009827651515151525
nykvist_evcharging,10,20,random,0.9372670454545453,0.011436158420116853,0.07509848484848469
nykvist_evcharging,10,20,easy,0.9306155303030301,0.010804594748382182,0.0684469696969695
nykvist_evcharging,10,50,hard,0.6837159090909091,0.04873266325139086,-0.17845265151515155
nykvist_evcharging,10,50,mixed,0.8933371212121213,0.013032321516053722,0.031168560606060658
nykvist_evcharging,10,50,random,0.9331628787878788,0.014355630840293022,0.07099431818181823
nykvist_evcharging,10,50,easy,0.9220549242424243,0.013495820623430611,0.05988636363636368
nykvist_evcharging,20,10,hard,0.5641780303030303,0.06947165423657946,-0.29799053030303035
nykvist_evcharging,20,10,mixed,0.8836401515151515,0.018441344967249574,0.0214715909090909
nykvist_evcharging,20,10,random,0.9272291666666665,0.0032993359239438945,0.06506060606060593
nykvist_evcharging,20,10,easy,0.918471590909091,0.006338516324725042,0.05630303030303041
nykvist_evcharging,20,20,hard,0.6866590909090908,0.06756450776466275,-0.1755094696969698
nykvist_evcharging,20,20,mixed,0.8967424242424243,0.020188320796995136,0.03457386363636372
nykvist_evcharging,20,20,random,0.9393484848484848,0.011089597227431995,0.07717992424242415
nykvist_evcharging,20,20,easy,0.9227121212121212,0.006529097784792238,0.06054356060606059
nykvist_evcharging,20,50,hard,0.7116306818181819,0.07481067496161,-0.15053787878787872
nykvist_evcharging,20,50,mixed,0.9100416666666666,0.025123239628309996,0.04787310606060602
nykvist_evcharging,20,50,random,0.9414905303030302,0.007714377144450009,0.07932196969696959
nykvist_evcharging,20,50,easy,0.9117878787878789,0.008133845488803014,0.049619318181818306
synergy_hall_2012,10,10,hard,0.9802439024390244,0.008428389056322554,-0.009349593495935005
synergy_hall_2012,10,10,mixed,0.9915121951219513,0.0016702123695830676,0.0019186991869919456
synergy_hall_2012,10,10,random,0.9899999999999999,0.0016397791525825745,0.00040650406504050274
synergy_hall_2012,10,10,easy,0.9894065040650407,0.001083041572084679,-0.00018699186991866235
synergy_hall_2012,10,20,hard,0.9889349593495934,0.0032661684639133347,-0.0006585365853659653
synergy_hall_2012,10,20,mixed,0.9913577235772358,0.001461968571901771,0.0017642276422764613
synergy_hall_2012,10,20,random,0.9896178861788618,0.0014306633220803752,2.4390243902439046e-05
synergy_hall_2012,10,20,easy,0.9897560975609755,0.0009769638299707431,0.00016260162601611228
synergy_hall_2012,10,50,hard,0.99269918699187,0.0012635935460476593,0.003105691056910609
synergy_hall_2012,10,50,mixed,0.9922195121951219,0.0012968945045527254,0.002626016260162567
synergy_hall_2012,10,50,random,0.9910650406504065,0.0008784250925011749,0.0014715447154470818
synergy_hall_2012,10,50,easy,0.9901138211382113,0.0009682650361599653,0.000520325203251959
synergy_hall_2012,20,10,hard,0.9899999999999999,0.001765369979724275,0.00040650406504050274
synergy_hall_2012,20,10,mixed,0.9932113821138211,0.0011171098560857251,0.003617886178861718
synergy_hall_2012,20,10,random,0.9912926829268291,0.0008524575368922232,0.0016991869918697722
synergy_hall_2012,20,10,easy,0.9905203252032522,0.0006331031653311069,0.0009268292682927948
synergy_hall_2012,20,20,hard,0.992390243902439,0.001648102039661101,0.0027967479674796403
synergy_hall_2012,20,20,mixed,0.992650406504065,0.0012922482267515955,0.0030569105691056198
synergy_hall_2012,20,20,random,0.9913170731707318,0.001417201669633001,0.0017235772357724333
