arm,fold,n,pos_rate,roc_auc,avg_precision,f2,f1,recall,precision,pred_pos_rate,recall_at_10pct,recall_at_20pct,wss_at_95,auc_ci_low,auc_ci_high
baseline,validate/fold1,296.0,0.5743243243243243,0.8582166199813258,0.8674322770808442,0.8108108108108109,0.8093841642228738,0.8117647058823529,0.8070175438596491,0.5777027027027027,0.16470588235294117,0.3352941176470588,0.1594594594594594,,
baseline,validate/fold2,297.0,0.5791245791245792,0.8806511627906978,0.8949424619359785,0.819672131147541,0.8284023668639053,0.813953488372093,0.8433734939759037,0.5589225589225589,0.16279069767441862,0.31976744186046513,0.2126262626262626,,
baseline,validate/fold3,294.0,0.5748299319727891,0.8763076923076923,0.8815767729249524,0.8460634547591069,0.8372093023255814,0.8520710059171598,0.8228571428571428,0.5952380952380952,0.15384615384615385,0.33136094674556216,0.2527210884353741,,
baseline,validate/fold4,296.0,0.5777027027027027,0.8610526315789473,0.8920749823109786,0.8011695906432749,0.8011695906432749,0.8011695906432749,0.8011695906432749,0.5777027027027027,0.17543859649122806,0.32748538011695905,0.19999999999999996,,
baseline,validate/fold5,295.0,0.576271186440678,0.8808470588235294,0.8927314354729765,0.820543093270366,0.8249258160237388,0.8176470588235294,0.8323353293413174,0.5661016949152542,0.16470588235294117,0.3235294117647059,0.21101694915254232,,
baseline,validate,295.6,0.5764505449130146,0.8714150330964385,0.885751585945146,0.81965181612622,0.8202182480158748,0.8193211699276819,0.8213506201354577,0.5751335508962627,0.16429744254353656,0.32748745962695025,0.20716475193472766,,
baseline,validate_sd,1.1401754250991378,0.0019935977434207986,0.010951995128400496,0.01146954645494651,0.016719191642477017,0.014646378765374274,0.019305092527591137,0.017468911286432194,0.013800040474894863,0.007680473178434835,0.006148427307450303,0.03334357478674074,,
baseline,train,1478.0,0.5764546684709067,0.9061201607943723,0.9249836395910622,0.8407913330193123,0.8449704142011835,0.8380281690140845,0.8520286396181385,0.5669824086603519,0.16901408450704225,0.33568075117370894,0.2301082543978349,,
baseline,test,370.0,0.5756756756756757,0.8672886576358363,0.8729054736421706,0.7904761904761904,0.8077858880778589,0.7793427230046949,0.8383838383838383,0.5351351351351351,0.1596244131455399,0.323943661971831,0.1797297297297297,0.829038565580682,0.9017053189269612
baseline,test/carbon_capture,58.0,0.5,0.8751486325802615,0.874555291250757,0.7446808510638298,0.7777777777777778,0.7241379310344828,0.84,0.43103448275862066,0.1724137931034483,0.3793103448275862,0.2258620689655172,,
baseline,test/cement_binders,52.0,0.6538461538461539,0.934640522875817,0.9576306897116091,0.8433734939759037,0.875,0.8235294117647058,0.9333333333333333,0.5769230769230769,0.14705882352941177,0.29411764705882354,0.25769230769230766,,
baseline,test/ner,63.0,0.7142857142857143,0.7925925925925926,0.8773430811460133,0.8035714285714286,0.8089887640449438,0.8,0.8181818181818182,0.6984126984126984,0.1111111111111111,0.26666666666666666,0.0928571428571428,,
baseline,test/soil_microbiome,71.0,0.2535211267605634,0.8081761006289307,0.6773265642925337,0.5357142857142857,0.6,0.5,0.75,0.16901408450704225,0.3333333333333333,0.5,0.006338028169014041,,
baseline,test/solar_leo,72.0,0.7638888888888888,0.7614973262032085,0.8797327991783419,0.8781362007168458,0.8596491228070176,0.8909090909090909,0.8305084745762712,0.8194444444444444,0.09090909090909091,0.21818181818181817,0.06111111111111106,,
baseline,test/tech_forecasting,54.0,0.5925925925925926,0.8011363636363636,0.8600907022689082,0.7371794871794872,0.7666666666666667,0.71875,0.8214285714285714,0.5185185185185185,0.15625,0.3125,0.07962962962962958,,
optimised,validate/fold1,296.0,0.5743243243243243,0.8587768440709618,0.8641871640791867,0.819672131147541,0.813953488372093,0.8235294117647058,0.8045977011494253,0.5878378378378378,0.16470588235294117,0.3352941176470588,0.1594594594594594,,
optimised,validate/fold2,297.0,0.5791245791245792,0.8794418604651162,0.8942598161040842,0.8060747663551402,0.8117647058823529,0.8023255813953488,0.8214285714285714,0.5656565656565656,0.1686046511627907,0.31976744186046513,0.23619528619528612,,
optimised,validate/fold3,294.0,0.5748299319727891,0.8763550295857988,0.8821191769135903,0.8372641509433962,0.8328445747800587,0.8402366863905325,0.8255813953488372,0.5850340136054422,0.15384615384615385,0.3254437869822485,0.22551020408163258,,
optimised,validate/fold4,296.0,0.5777027027027027,0.8600701754385965,0.8844280417247822,0.8108108108108109,0.8165680473372781,0.8070175438596491,0.8263473053892215,0.5641891891891891,0.17543859649122806,0.3157894736842105,0.2101351351351351,,
optimised,validate/fold5,295.0,0.576271186440678,0.8795294117647059,0.894034395361511,0.8352941176470589,0.8352941176470589,0.8352941176470589,0.8352941176470589,0.576271186440678,0.16470588235294117,0.3235294117647059,0.20762711864406774,,
optimised,validate,295.6,0.5764505449130146,0.8708346642650359,0.8838057188366308,0.8218231953807894,0.8220849868037682,0.8216806682114589,0.8226498181926228,0.5757977585459425,0.16546023324121098,0.32396484638773776,0.2077854407031162,,
optimised,validate_sd,1.1401754250991378,0.0019935977434207986,0.01050502428973317,0.012268184190561105,0.014087242130903812,0.011105358584630297,0.016753330044644972,0.011286211036983462,0.01081779467568222,0.00783390113440935,0.007334578710932409,0.029420371983856157,,
optimised,train,1478.0,0.5764546684709067,0.9057301744438945,0.9238123951685902,0.848613070051716,0.850412249705536,0.8474178403755869,0.8534278959810875,0.5723951285520974,0.17018779342723006,0.3368544600938967,0.23619756427604865,,
optimised,test,370.0,0.5756756756756757,0.8700098681259532,0.8785371572132685,0.7952380952380952,0.8126520681265207,0.784037558685446,0.8434343434343434,0.5351351351351351,0.1596244131455399,0.3145539906103286,0.177027027027027,0.8330139984996867,0.9046881698533825
optimised,test/carbon_capture,58.0,0.5,0.8763376932223543,0.8824341096456778,0.7446808510638298,0.7777777777777778,0.7241379310344828,0.84,0.43103448275862066,0.20689655172413793,0.3793103448275862,0.19137931034482755,,
optimised,test/cement_binders,52.0,0.6538461538461539,0.9411764705882353,0.9624687174914098,0.8433734939759037,0.875,0.8235294117647058,0.9333333333333333,0.5769230769230769,0.14705882352941177,0.29411764705882354,0.25769230769230766,,
optimised,test/ner,63.0,0.7142857142857143,0.7765432098765432,0.8743030041860149,0.8407079646017699,0.8351648351648352,0.8444444444444444,0.8260869565217391,0.7301587301587301,0.1111111111111111,0.26666666666666666,0.07698412698412693,,
optimised,test/soil_microbiome,71.0,0.2535211267605634,0.8165618448637316,0.6964440918642855,0.5357142857142857,0.6,0.5,0.75,0.16901408450704225,0.3333333333333333,0.5,0.03450704225352108,,
optimised,test/solar_leo,72.0,0.7638888888888888,0.7754010695187166,0.8880431889354998,0.8664259927797834,0.8571428571428571,0.8727272727272727,0.8421052631578947,0.7916666666666666,0.10909090909090909,0.21818181818181817,0.04722222222222218,,
