use_case,auc|supplied,wss|supplied,f2own|supplied,auc|induced,wss|induced,f2own|induced
brouwer_2019,0.9410000000000001,0.7320911817262233,0.04792667601982376,0.9640666666666667,0.7803437473541616,0.06507959234143358
leenaars_2020,0.815659420289855,0.39144187779433937,0.4757837534179044,0.8620289855072464,0.4554433681073038,0.5516506130139958
moran_2021,0.5249621212121213,0.045573452357842256,0.09556666252544459,0.525,0.06188433921986487,0.08902376538874697
muthu_2021,0.711728855721393,0.14962115575396595,0.4848230977480937,0.7616044776119403,0.1525390624999977,0.49990109483715056
nelson_2002,0.5830518018018018,0.012937062937062899,0.4455445544554455,0.7601351351351351,0.17377622377622373,0.6084656084656085
sep_2021,0.5917119565217391,0.033333333333333284,0.35353535353535354,0.75,0.033333333333333284,0.5288461538461539
van_der_valk_2021,0.7865748709122203,0.36549295774647883,0.47413793103448276,0.8278829604130808,0.37957746478873233,0.5648535564853557
van_dis_2020,0.9110344827586206,0.7603223881710207,0.11101278550109583,0.9336206896551724,0.7636286849023888,0.14820053883671777
