representation,dim,seconds,avg_pairwise_cosine,participation_ratio,top1_variance_ratio,use_case_to_centroid_sim,use_case_centroid_percentile,roc_auc,n_folds,n_zero_entity_papers,note
entity_type_counts,18,3.59,0.2164,5.86,0.3065,0.0,0.0,0.5534,5,20,
entity_text_tfidf,100,3.55,0.0055,47.46,0.0296,0.0,0.0,0.5897,5,20,
