encoder,use_case,5%,10%,20%,30%,50%,75%
jasper,carbon_capture,0.0136986301369863,0.00684931506849315,0.0136986301369863,0.0,0.07534246575342465,0.0410958904109589
jasper,cement_binders,0.0,-0.0058823529411764705,0.0,0.0,0.0058823529411764705,-0.0058823529411764705
jasper,ner,0.0,-0.008968609865470852,-0.017937219730941704,-0.013452914798206279,-0.008968609865470852,-0.013452914798206279
jasper,soil_microbiome,0.0,-0.02127659574468085,0.010638297872340425,0.031914893617021274,-0.031914893617021274,0.0
jasper,solar_leo,0.0,-0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.007272727272727273,0.01090909090909091
jasper,tech_forecasting,-0.006369426751592357,-0.012738853503184714,-0.012738853503184714,0.006369426751592357,-0.006369426751592357,-0.006369426751592357
qwen4b,carbon_capture,0.0,-0.00684931506849315,0.0,0.00684931506849315,-0.0136986301369863,0.03424657534246575
qwen4b,cement_binders,0.0,0.011764705882352941,0.0,0.0058823529411764705,-0.0058823529411764705,-0.0058823529411764705
qwen4b,ner,0.0,0.0,0.0,0.004484304932735426,0.0,0.013452914798206279
qwen4b,soil_microbiome,-0.02127659574468085,-0.02127659574468085,-0.05319148936170213,-0.031914893617021274,0.031914893617021274,-0.02127659574468085
qwen4b,solar_leo,0.0,0.007272727272727273,-0.007272727272727273,0.014545454545454545,0.0036363636363636364,0.014545454545454545
qwen4b,tech_forecasting,0.0,-0.006369426751592357,0.006369426751592357,-0.006369426751592357,0.012738853503184714,-0.006369426751592357
qwen8b,carbon_capture,0.0136986301369863,0.0,0.0,0.03424657534246575,0.07534246575342465,0.04794520547945205
qwen8b,cement_binders,0.0,0.0058823529411764705,0.011764705882352941,-0.0058823529411764705,0.0,0.0
qwen8b,ner,0.0,0.008968609865470852,0.004484304932735426,0.013452914798206279,0.026905829596412557,0.004484304932735426
qwen8b,soil_microbiome,0.010638297872340425,0.0,0.0,-0.031914893617021274,-0.02127659574468085,-0.02127659574468085
qwen8b,solar_leo,0.0,0.0,0.014545454545454545,0.01090909090909091,0.025454545454545455,0.014545454545454545
qwen8b,tech_forecasting,-0.012738853503184714,0.0,0.006369426751592357,-0.01910828025477707,0.006369426751592357,0.01910828025477707
