use_case,variant,reader_d_auc,reader_d_f2_own,reader_d_screened_own,reader_d_recall_own,matcher_fitted_d,matcher_unfitted_worst_d,matcher_d_bm25_obj,matcher_d_bm25_nice,matcher_d_overlap_must_frac
brouwer_2019,conflicting,0.056805555555555554,-0.09025905726404543,0.010251343618813339,0.16666666666666663,-0.016266666666666763,-0.02203333333333335,0.0,0.0,-0.02203333333333335
brouwer_2019,conflicting_prose,0.04819444444444443,-0.28558692655508694,0.07015508436054438,0.16666666666666663,,,,,
brouwer_2019,fluff_replace,-0.06652777777777774,-0.10282457017908014,0.0066559711935256765,0.0,-0.0014133333333331555,-0.2550666666666667,-0.2550666666666667,0.0,0.0
brouwer_2019,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brouwer_2019,keyword_flood,-0.0002777777777778212,0.03458420810676344,0.00013369341426241327,0.08333333333333326,-0.06322666666666654,-0.16723333333333323,0.0,-0.08086666666666664,-0.16723333333333323
brouwer_2019,only_name,0.054444444444444406,-0.2204412013790741,0.033547242796153204,0.16666666666666663,-0.013519999999999976,,-0.2518,-0.2351333333333333,
brouwer_2019,shuffled,-0.4451388888888889,-0.3768522287040806,-0.011320890932912645,-0.8333333333333334,,,,,
brouwer_2019,vague_objective,-0.060138888888888964,-0.13572103404368974,0.009983956790288512,0.0,0.006000000000000005,-0.3602,-0.3602,0.0,0.0
leenaars_2020,conflicting,0.007188405797101338,0.08347809927106017,0.0029135618479880776,0.06956521739130435,-0.04760579710144919,-0.03204347826086951,0.0,0.0,-0.03204347826086951
leenaars_2020,conflicting_prose,0.041565217391304365,0.33175574259729435,0.10064828614008942,0.3565217391304348,,,,,
leenaars_2020,fluff_replace,0.02862318840579703,0.14978640841628169,0.017272727272727273,0.13043478260869565,0.03182898550724644,-0.205036231884058,-0.205036231884058,0.0,0.0
leenaars_2020,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leenaars_2020,keyword_flood,-0.019000000000000017,0.000370047832115878,-0.00609538002980626,0.0,-0.21997101449275347,-0.08924637681159409,0.0,-0.07901811594202901,-0.08924637681159409
