combination,dim,seconds,avg_pairwise_cosine,participation_ratio,top1_variance_ratio,use_case_to_centroid_sim,use_case_centroid_percentile,roc_auc,n_folds,note
paraphrase-multilingual-MiniLM-L12-v2 + entity_type_counts,402,79.66,0.4696,12.47,0.1892,0.6073,21.3,0.7603,5,
paraphrase-multilingual-MiniLM-L12-v2 + entity_text_tfidf,484,77.89,0.3614,28.65,0.0597,0.6181,68.1,0.7605,5,
