use_case,lex (BM25 subset) only [CatBoost (Ordered)],lex (BM25 subset) only [LogisticRegression],lex + cos-brief + metadata (no embedding) [CatBoost (Ordered)],lex + cos-brief + metadata (no embedding) [LogisticRegression],lex + cos-brief + metadata + Qwen3-8B [CatBoost (Ordered)],lex + cos-brief + metadata + Qwen3-8B [LogisticRegression],lex + cos-brief + metadata + Jasper+Qwen3-4B concat [CatBoost (Ordered)],lex + cos-brief + metadata + Jasper+Qwen3-4B concat [LogisticRegression]
carbon_capture,0.7461248506021881,0.7492507125126413,0.8194079249793141,0.8240323618644847,0.8795623793325366,0.887468971223683,0.883993748276179,0.8956421807483681
cement_binders,0.8848721227621483,0.8729411764705883,0.9288618925831201,0.9163171355498723,0.912762148337596,0.894386189258312,0.9044884910485933,0.8758823529411763
ner,0.698564014712551,0.7150098251624932,0.7597924119514284,0.7767823852471406,0.8022169597420266,0.8433113316874087,0.8036277523051343,0.8227742228044541
soil_microbiome,0.6601731251516867,0.6681174662244155,0.65793220613219,0.684629075317531,0.7807782541865544,0.7609740312272469,0.8050562252244964,0.7851144729390827
solar_leo,0.6162409638554217,0.612170865279299,0.8267864184008762,0.800473165388828,0.854212486308872,0.817463307776561,0.8487535596933187,0.8271106243154437
tech_forecasting,0.6357461753675814,0.645645574141318,0.6663491874516341,0.6727424251443538,0.800130960176201,0.8341925114590154,0.8294184177629621,0.8353354366331331
