use_case,n_pos,n_neg,n_labels,auc,auc_sd,recall10,recall10_sd,auc_floor,recall10_floor,auc_gain,recall10_gain
synergy_brouwer_2019,2,10,12,0.9655066666666666,0.012288285297613978,0.9040000000000001,0.06499230723708768,0.9975999999999999,1.0,-0.03209333333333331,-0.09599999999999986
synergy_brouwer_2019,2,20,22,0.96316,0.013016884761297061,0.9039999999999999,0.06974238309665076,0.9975999999999999,1.0,-0.034439999999999915,-0.09600000000000009
synergy_brouwer_2019,2,50,52,0.9638933333333333,0.016524008122863015,0.9039999999999999,0.08979977728257459,0.9975999999999999,1.0,-0.03370666666666666,-0.09600000000000009
synergy_brouwer_2019,2,100,102,0.9705733333333333,0.010119692573283887,0.9279999999999999,0.046647615158762396,0.9975999999999999,1.0,-0.027026666666666643,-0.07200000000000006
synergy_brouwer_2019,3,10,13,0.9815466666666668,0.009059938680194748,0.96,0.02529822128134702,0.9975999999999999,1.0,-0.016053333333333142,-0.040000000000000036
synergy_brouwer_2019,3,20,23,0.9886133333333333,0.005293753131968129,1.0,0.0,0.9975999999999999,1.0,-0.008986666666666587,0.0
synergy_brouwer_2019,3,50,53,0.98704,0.006386875431521858,0.992,0.016000000000000014,0.9975999999999999,1.0,-0.010559999999999903,-0.008000000000000007
synergy_brouwer_2019,3,100,103,0.9862266666666667,0.008897500273172909,0.992,0.016000000000000014,0.9975999999999999,1.0,-0.011373333333333235,-0.008000000000000007
synergy_brouwer_2019,5,10,15,0.9869333333333333,0.011623348150262952,0.976,0.03199999999999999,0.9975999999999999,1.0,-0.010666666666666602,-0.02400000000000002
synergy_brouwer_2019,5,20,25,0.9895333333333334,0.005736743172063967,1.0,0.0,0.9975999999999999,1.0,-0.008066666666666555,0.0
synergy_brouwer_2019,5,50,55,0.9892666666666667,0.006679321322809193,1.0,0.0,0.9975999999999999,1.0,-0.008333333333333193,0.0
synergy_brouwer_2019,5,100,105,0.9917733333333333,0.004700562614080239,1.0,0.0,0.9975999999999999,1.0,-0.005826666666666647,0.0
synergy_brouwer_2019,10,10,20,0.9917333333333334,0.002416241341882521,0.992,0.016000000000000014,0.9975999999999999,1.0,-0.005866666666666576,-0.008000000000000007
synergy_brouwer_2019,10,20,30,0.9945066666666665,0.0019711699853414044,1.0,0.0,0.9975999999999999,1.0,-0.0030933333333333923,0.0
synergy_brouwer_2019,10,50,60,0.9946800000000001,0.002567973693184747,1.0,0.0,0.9975999999999999,1.0,-0.0029199999999998116,0.0
synergy_brouwer_2019,10,100,110,0.9958533333333334,0.001348183963708189,1.0,0.0,0.9975999999999999,1.0,-0.0017466666666665631,0.0
synergy_brouwer_2019,20,10,30,0.9908133333333332,0.00490884009834413,1.0,0.0,0.9975999999999999,1.0,-0.006786666666666719,0.0
synergy_brouwer_2019,20,20,40,0.9952799999999999,0.0013289260492760626,1.0,0.0,0.9975999999999999,1.0,-0.0023199999999999887,0.0
synergy_brouwer_2019,20,50,70,0.9953733333333332,0.001769168040508186,1.0,0.0,0.9975999999999999,1.0,-0.00222666666666671,0.0
synergy_brouwer_2019,20,100,120,0.99576,0.0006233957188032594,1.0,0.0,0.9975999999999999,1.0,-0.0018399999999999528,0.0
synergy_brouwer_2019,30,10,40,0.99576,0.0019810659308115318,1.0,0.0,0.9975999999999999,1.0,-0.0018399999999999528,0.0
synergy_brouwer_2019,30,20,50,0.9951333333333334,0.0019229606802474858,1.0,0.0,0.9975999999999999,1.0,-0.002466666666666506,0.0
synergy_brouwer_2019,30,50,80,0.9956800000000001,0.0013455440865645092,1.0,0.0,0.9975999999999999,1.0,-0.0019199999999998107,0.0
synergy_brouwer_2019,30,100,130,0.9970533333333333,0.0004224794538067715,1.0,0.0,0.9975999999999999,1.0,-0.0005466666666665843,0.0
synergy_leenaars_2020,2,10,12,0.7801898550724637,0.06564833968392207,0.29547826086956513,0.07954530518238993,0.8700942028985507,0.43043478260869567,-0.08990434782608692,-0.13495652173913053
synergy_leenaars_2020,2,20,22,0.777404347826087,0.07544560063876878,0.2798173913043477,0.07151079551533665,0.8700942028985507,0.43043478260869567,-0.09268985507246363,-0.15061739130434798
synergy_leenaars_2020,2,50,52,0.8178927536231886,0.03781298412630272,0.32608695652173914,0.05472046164366009,0.8700942028985507,0.43043478260869567,-0.05220144927536208,-0.10434782608695653
synergy_leenaars_2020,2,100,102,0.8160594202898551,0.03827023227560687,0.3234782608695652,0.05406710106681675,0.8700942028985507,0.43043478260869567,-0.05403478260869554,-0.10695652173913045
synergy_leenaars_2020,3,10,13,0.8316188405797101,0.02449382237613337,0.38473043478260865,0.023413992552723233,0.8700942028985507,0.43043478260869567,-0.03847536231884052,-0.04570434782608701
synergy_leenaars_2020,3,20,23,0.8364985507246377,0.009791943372459415,0.37452173913043474,0.020332491434635107,0.8700942028985507,0.43043478260869567,-0.033595652173912915,-0.055913043478260926
synergy_leenaars_2020,3,50,53,0.8446579710144928,0.016538938035120423,0.40608695652173915,0.04139349647099792,0.8700942028985507,0.43043478260869567,-0.02543623188405786,-0.024347826086956514
synergy_leenaars_2020,3,100,103,0.8531043478260869,0.03386963547957712,0.4071739130434782,0.07895704845639294,0.8700942028985507,0.43043478260869567,-0.016989855072463755,-0.023260869565217446
synergy_leenaars_2020,5,10,15,0.8469123188405797,0.03935445298774069,0.40994782608695646,0.07771546376448218,0.8700942028985507,0.43043478260869567,-0.023181884057970947,-0.020486956521739208
synergy_leenaars_2020,5,20,25,0.8567391304347826,0.026131849857589987,0.4264521739130435,0.0395034740402365,0.8700942028985507,0.43043478260869567,-0.013355072463768103,-0.003982608695652146
synergy_leenaars_2020,5,50,55,0.8675898550724638,0.02758454366016045,0.45325217391304334,0.05320081014776071,0.8700942028985507,0.43043478260869567,-0.0025043478260868834,0.02281739130434768
synergy_leenaars_2020,5,100,105,0.8789811594202899,0.023145184175430503,0.4689913043478261,0.05236589605786657,0.8700942028985507,0.43043478260869567,0.008886956521739209,0.038556521739130434
synergy_leenaars_2020,10,10,20,0.8452550724637682,0.027560213965512455,0.3893913043478261,0.03715150608706009,0.8700942028985507,0.43043478260869567,-0.024839130434782475,-0.04104347826086957
synergy_leenaars_2020,10,20,30,0.8728362318840579,0.021047822444557867,0.4382434782608695,0.04296709604051694,0.8700942028985507,0.43043478260869567,0.002742028985507239,0.007808695652173847
synergy_leenaars_2020,10,50,60,0.8867666666666668,0.02120180309611335,0.4893913043478261,0.07160783769713853,0.8700942028985507,0.43043478260869567,0.016672463768116152,0.05895652173913041
synergy_leenaars_2020,10,100,110,0.88213768115942,0.01562839377132073,0.45658260869565226,0.03828477119043511,0.8700942028985507,0.43043478260869567,0.012043478260869378,0.026147826086956594
synergy_leenaars_2020,20,10,30,0.8752072463768116,0.01342856163521776,0.47639130434782606,0.029765904550744102,0.8700942028985507,0.43043478260869567,0.005113043478260915,0.045956521739130396
synergy_leenaars_2020,20,20,40,0.8926391304347827,0.025119558434037518,0.5078260869565218,0.08135896793541612,0.8700942028985507,0.43043478260869567,0.02254492753623205,0.0773913043478261
synergy_leenaars_2020,20,50,70,0.905586956521739,0.006838480702281726,0.5367999999999999,0.03645540145021082,0.8700942028985507,0.43043478260869567,0.03549275362318838,0.10636521739130428
synergy_leenaars_2020,20,100,120,0.9123275362318841,0.007517467441910225,0.5605130434782609,0.035110243874868524,0.8700942028985507,0.43043478260869567,0.042233333333333456,0.13007826086956525
synergy_leenaars_2020,30,10,40,0.8800985507246377,0.0098919796977069,0.490304347826087,0.027183699107451564,0.8700942028985507,0.43043478260869567,0.010004347826087057,0.05986956521739134
synergy_leenaars_2020,30,20,50,0.8960826086956521,0.016366678024217755,0.5070173913043478,0.05171025573524228,0.8700942028985507,0.43043478260869567,0.025988405797101488,0.07658260869565209
synergy_leenaars_2020,30,50,80,0.9033710144927536,0.011773388374126795,0.5342086956521739,0.02528540154300354,0.8700942028985507,0.43043478260869567,0.033276811594202926,0.10377391304347822
synergy_leenaars_2020,30,100,130,0.9082231884057972,0.016046234789310387,0.553104347826087,0.04448299605038035,0.8700942028985507,0.43043478260869567,0.03812898550724653,0.12266956521739131
synergy_moran_2021,2,10,12,0.5495530303030304,0.04628980926391493,0.1409090909090909,0.009090909090909094,0.48750000000000004,0.13636363636363635,0.06205303030303033,0.004545454545454547
synergy_moran_2021,2,20,22,0.5590454545454545,0.04148722656264726,0.16363636363636364,0.022268088570756173,0.48750000000000004,0.13636363636363635,0.07154545454545447,0.027272727272727282
synergy_moran_2021,2,50,52,0.5536060606060607,0.03740781752192851,0.15,0.030828772650569405,0.48750000000000004,0.13636363636363635,0.06610606060606061,0.013636363636363641
synergy_moran_2021,2,100,102,0.5507272727272727,0.036934622271170565,0.13636363636363635,0.028747978728803445,0.48750000000000004,0.13636363636363635,0.06322727272727269,0.0
synergy_moran_2021,3,10,13,0.5613030303030303,0.040826316370158704,0.1590909090909091,0.051826155686324454,0.48750000000000004,0.13636363636363635,0.07380303030303026,0.022727272727272735
synergy_moran_2021,3,20,23,0.5721515151515152,0.03663924437880968,0.1681818181818182,0.044536177141512326,0.48750000000000004,0.13636363636363635,0.08465151515151514,0.03181818181818186
synergy_moran_2021,3,50,53,0.572310606060606,0.038047963121622126,0.18073636363636494,0.04550601086442732,0.48750000000000004,0.13636363636363635,0.08481060606060598,0.04437272727272859
synergy_moran_2021,3,100,103,0.5710530303030302,0.043690198536027965,0.17329090909091036,0.04985050046583702,0.48750000000000004,0.13636363636363635,0.08355303030303018,0.036927272727274
synergy_moran_2021,5,10,15,0.5859166666666666,0.041930147649513555,0.18636363636363637,0.05995866344669509,0.48750000000000004,0.13636363636363635,0.0984166666666666,0.05000000000000002
synergy_moran_2021,5,20,25,0.6135757575757574,0.03029453100504157,0.20454545454545453,0.038030001206094344,0.48750000000000004,0.13636363636363635,0.1260757575757574,0.06818181818181818
synergy_moran_2021,5,50,55,0.6136590909090909,0.03248428489165098,0.19090909090909092,0.027272727272727275,0.48750000000000004,0.13636363636363635,0.12615909090909083,0.054545454545454564
