collection,provenance,n_papers,n_dropped_empty,n_pos_strict,n_neg_strict,pct_abstract_over_4000,auc_title_abstract,auc_title_only,diff,abs_diff,gate_pass,wall_clock_s
synergy_donners_2021,benchset,258,0,15,243,0.14728682170542637,0.807681755829904,0.8592592592592593,0.0515775034293553,0.0515775034293553,True,58.94494308301364
synergy_oud_2018,benchset,952,0,20,932,0.009453781512605041,0.8775214592274678,0.8507510729613734,-0.026770386266094404,0.026770386266094404,True,395.0639270830143
synergy_meijboom_2021,benchset,882,0,37,845,0.009070294784580499,0.9088757396449705,0.8572525187909803,-0.05162322085399018,0.05162322085399018,True,290.96748320802
carbon_capture,live,323,0,147,150,0.006191950464396285,0.6264852607709751,0.6824036281179139,0.05591836734693878,0.05591836734693878,True,100.2594574590039
