use_case,bm25_obj|supplied,bm25_must|supplied,bm25_nice|supplied,overlap_must_frac|supplied,rank_overlap_must|supplied,bm25_obj|induced,bm25_must|induced,bm25_nice|induced,overlap_must_frac|induced,rank_overlap_must|induced
brouwer_2019,0.7518,0.9331999999999999,0.7351333333333333,0.8753,0.8753,0.9512,0.9421333333333333,0.8334333333333334,0.9140999999999999,0.9140999999999999
leenaars_2020,0.5541666666666667,0.6613442028985507,0.625286231884058,0.7481086956521739,0.7481086956521739,0.5698985507246376,0.8434130434782608,0.7563985507246377,0.8402789855072464,0.8402789855072464
moran_2021,0.5910227272727273,0.5086174242424243,0.47750000000000004,0.4867424242424242,0.4867424242424242,0.6071212121212121,0.4972727272727273,0.5024431818181818,0.5161742424242424,0.5161742424242424
muthu_2021,0.640136815920398,0.7262189054726368,0.5617910447761194,0.6049067164179104,0.6049067164179104,0.6036442786069651,0.7363930348258707,0.6187500000000001,0.7275808457711442,0.7275808457711442
nelson_2002,0.5205518018018018,0.5834740990990991,0.5423704954954955,0.6237331081081081,0.6237331081081081,0.6759572072072073,0.6379504504504505,0.7530968468468469,0.6589245495495495,0.6589245495495495
sep_2021,0.5054347826086956,0.5631793478260869,0.49592391304347827,0.7785326086956521,0.7785326086956521,0.580163043478261,0.5258152173913043,0.5387228260869565,0.7218070652173914,0.7218070652173914
van_der_valk_2021,0.7823293172690763,0.6950086058519794,0.6932874354561102,0.7876075731497418,0.7876075731497418,0.7304647160068847,0.7631669535283994,0.6983935742971887,0.7753298909925417,0.7753298909925417
van_dis_2020,0.8607471264367816,0.8647701149425288,0.7121264367816091,0.8358045977011495,0.8358045977011495,0.8690804597701149,0.8708620689655173,0.8675287356321839,0.8753448275862068,0.8753448275862068
