use_case,n_train,n_eval,floor_f2,auc_qc_block,f2star_qc_block,f2own_qc_block,recall_qc_block,screened_qc_block,wss_qc_block,auc_embedding,f2star_embedding,f2own_embedding,recall_embedding,screened_embedding,wss_embedding,auc_cosine,wss_cosine
brouwer_2019,60,625,0.008299802132717159,0.9955999999999999,0.44345203935767286,0.14338479891715802,1.0,0.05158750317500634,0.9367486152516165,0.998,0.6403340603388725,0.13207136502623468,1.0,0.056579147895137905,0.9350847336782393,0.9975999999999999,0.9417402599717479
leenaars_2020,60,830,0.3190899001109878,0.8921304347826087,0.6040765423438169,0.5833395902761334,0.8782608695652174,0.30231371087928466,0.5392548435171381,0.8937028985507247,0.604233852552888,0.5732643476135324,0.8565217391304348,0.29740312965722804,0.533159463487332,0.8700942028985507,0.4859202682563345
moran_2021,60,644,0.09833720722331485,0.5730303030303031,0.12836970474967904,0.12164626535387421,0.5227272727272727,0.3732602367552883,0.00968950126139275,0.6385984848484848,0.1414556619708934,0.11415152799973904,0.4772727272727273,0.36087230739375126,0.05046671841644891,0.48750000000000004,-0.018039006404045398
muthu_2021,60,734,0.41583912611717977,0.7593905472636816,0.538264277127689,0.536262387661155,0.8208955223880597,0.4553732638888889,0.22986359126983924,0.7617039800995026,0.5247301837395212,0.5041521173304729,0.6940298507462687,0.359319816468254,0.17880022321428352,0.7283955223880596,0.25174789186507746
nelson_2002,60,143,0.5904059040590407,0.6872184684684685,0.6808510638297872,0.5882352941176471,0.6875,0.4125874125874126,0.21573426573426568,0.8409346846846847,0.7673267326732675,0.6557377049180328,0.75,0.38461538461538464,0.43251748251748245,0.7131193693693694,0.25769230769230766
sep_2021,54,108,0.46511627906976744,0.609375,0.48484848484848486,0.39215686274509803,0.5,0.35185185185185186,0.024074074074074026,0.8057065217391305,0.632183908045977,0.576923076923077,0.75,0.37037037037037035,0.0981481481481481,0.6175271739130435,0.014814814814814767
van_der_valk_2021,60,284,0.41273584905660377,0.8768789443488239,0.684931506849315,0.6547619047619049,0.9428571428571428,0.39436619718309857,0.5028169014084507,0.8746987951807229,0.6521739130434783,0.6118143459915613,0.8285714285714286,0.3415492957746479,0.3936619718309859,0.8805507745266782,0.4323943661971831
van_dis_2020,60,629,0.039280489787072666,0.9122988505747127,0.22860068945967943,0.12377536068729512,0.9655172413793104,0.283907068672969,0.7239531241259722,0.9413793103448276,0.34651070514249055,0.13584319813700757,0.9655172413793104,0.2558035464563405,0.714034233931868,0.8970114942528735,0.6495614476701912
