variant,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
lexical only (Tier 1b),carbon_capture,0.17006802721088435,0.32653061224489793,0.0678451178451178,0.7435827664399093,0.4797979797979797
lexical only (Tier 1b),cement_binders,0.15294117647058825,0.3,0.19809160305343507,0.8896419437340154,0.333587786259542
lexical only (Tier 1b),ner,0.10762331838565023,0.2242152466367713,0.03653846153846149,0.673250365294503,0.2709935897435897
lexical only (Tier 1b),soil_microbiome,0.1702127659574468,0.2872340425531915,0.014425770308123198,0.594045789175633,0.6998599439775911
lexical only (Tier 1b),solar_leo,0.08333333333333333,0.18115942028985507,-0.005555555555555598,0.4133454106280194,0.2216666666666666
lexical only (Tier 1b),tech_forecasting,0.10191082802547771,0.22929936305732485,-0.00833333333333338,0.5399130900648849,0.38503787878787876
jasper: cosine-to-brief (0 labels),carbon_capture,0.17006802721088435,0.3129251700680272,0.12508417508417505,0.7509750566893424,0.4797979797979797
jasper: cosine-to-brief (0 labels),cement_binders,0.12352941176470589,0.25882352941176473,0.2057251908396946,0.8282608695652174,0.333587786259542
jasper: cosine-to-brief (0 labels),ner,0.13901345291479822,0.2600896860986547,0.08461538461538456,0.7735174081725199,0.2709935897435897
jasper: cosine-to-brief (0 labels),soil_microbiome,0.1702127659574468,0.3191489361702128,-0.007983193277310965,0.6027829463635628,0.6998599439775911
jasper: cosine-to-brief (0 labels),solar_leo,0.11956521739130435,0.21739130434782608,0.005555555555555508,0.5277777777777778,0.2216666666666666
jasper: cosine-to-brief (0 labels),tech_forecasting,0.14012738853503184,0.25477707006369427,0.07878787878787874,0.6724805047919521,0.38503787878787876
jasper: embedding,carbon_capture,0.10204081632653061,0.19047619047619047,0.017340067340067294,0.49147392290249436,0.4797979797979797
jasper: embedding,cement_binders,0.12941176470588237,0.2411764705882353,0.05687022900763354,0.6455882352941177,0.333587786259542
jasper: embedding,ner,0.08520179372197309,0.17937219730941703,0.007692307692307651,0.4623116843855494,0.2709935897435897
jasper: embedding,soil_microbiome,0.06382978723404255,0.18085106382978725,-0.030392156862745143,0.5440093843540167,0.6998599439775911
jasper: embedding,solar_leo,0.11231884057971014,0.213768115942029,0.005555555555555508,0.5263112491373361,0.2216666666666666
jasper: embedding,tech_forecasting,0.12738853503184713,0.24203821656050956,0.03712121212121208,0.6287874278230846,0.38503787878787876
jasper: embedding PCA-64,carbon_capture,0.07482993197278912,0.1564625850340136,-0.009595959595959637,0.4204988662131519,0.4797979797979797
jasper: embedding PCA-64,cement_binders,0.10588235294117647,0.2235294117647059,0.1026717557251908,0.6673273657289003,0.333587786259542
