variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
induced_all,0,catboost,brouwer_2019,0.9932580645161291,0.9311179023733768,0.5123794903532003,0.008233950436930596
induced_all,0,logreg,brouwer_2019,0.9953440860215053,0.9311179023733768,0.5388947269150971,0.008233950436930596
induced_all,0,blend,brouwer_2019,0.9953225806451613,0.9344457100077538,0.5884233806144473,0.008233950436930596
induced_all,0,catboost,leenaars_2020,0.9360133101851852,0.6416286693488327,0.6821955665997049,0.31946755407653904
induced_all,0,logreg,leenaars_2020,0.9251753472222222,0.6209074653553885,0.6721907852802743,0.31946755407653904
induced_all,0,blend,leenaars_2020,0.9399635416666667,0.6593026374608874,0.6889778425916281,0.31946755407653904
induced_all,0,catboost,moran_2021,0.8566606606606605,0.3090876988746509,0.4167835424748738,0.09914255091103961
induced_all,0,logreg,moran_2021,0.6334834834834835,0.07425649980596943,0.13533072896863804,0.09914255091103961
induced_all,0,blend,moran_2021,0.8367687687687687,0.31234924330616065,0.3437751863070523,0.09914255091103961
induced_all,0,catboost,muthu_2021,0.8319061876247507,0.2840493735268751,0.5909261024180998,0.41511309967685805
induced_all,0,logreg,muthu_2021,0.8063333333333333,0.23384269941695635,0.5535804944548884,0.41511309967685805
induced_all,0,blend,muthu_2021,0.841690618762475,0.258946036471921,0.5973558260136425,0.41511309967685805
induced_all,0,catboost,nelson_2002,0.8648381294964029,0.3662011173184357,0.7262569832402234,0.5899705014749262
induced_all,0,logreg,nelson_2002,0.8680755395683453,0.46675977653631284,0.7322175732217574,0.5899705014749262
induced_all,0,blend,nelson_2002,0.8741906474820145,0.3829608938547486,0.7407407407407407,0.5899705014749262
induced_all,0,catboost,sep_2021,0.7474999999999999,0.07222222222222217,0.5595667870036101,0.46511627906976744
induced_all,0,logreg,sep_2021,0.8068478260869565,0.3055555555555555,0.5961538461538461,0.46511627906976744
induced_all,0,blend,sep_2021,0.7572826086956521,0.08333333333333329,0.5707762557077625,0.46511627906976744
induced_all,0,catboost,van_der_valk_2021,0.8544860795926275,0.46971830985915486,0.6307692307692307,0.41115311909262764
induced_all,0,logreg,van_der_valk_2021,0.8485175550266599,0.41478873239436614,0.625,0.41115311909262764
induced_all,0,blend,van_der_valk_2021,0.860482278924743,0.5119718309859155,0.636672325976231,0.41115311909262764
induced_all,0,catboost,van_dis_2020,0.9446296296296296,0.7650527336466028,0.3407002746117483,0.03902016041621504
induced_all,0,logreg,van_dis_2020,0.9270972222222222,0.6215514283583208,0.32242215807897806,0.03902016041621504
induced_all,0,blend,van_dis_2020,0.9477962962962962,0.7544719922428584,0.37173405083905686,0.03902016041621504
induced_all,1,catboost,brouwer_2019,0.9893548387096774,0.926458971685249,0.5758504763106083,0.008233950436930596
induced_all,1,logreg,brouwer_2019,0.9954623655913979,0.9371079561152553,0.59998145511866,0.008233950436930596
induced_all,1,blend,brouwer_2019,0.9965698924731182,0.9304523408465014,0.5843931458306514,0.008233950436930596
induced_all,1,catboost,leenaars_2020,0.9332685185185186,0.621516912531666,0.6789741961455811,0.31946755407653904
