use_case,pop_n,prevalence,cos_to_1pos,rand_to_1pos,cos_to_2pos,rand_to_2pos,cos_to_3pos,rand_to_3pos,cos_to_5pos,rand_to_5pos,cos_to_10pos,rand_to_10pos,cos_to_25pos,rand_to_25pos,pos_per_50_cos,pos_per_50_rand
synergy_brouwer_2019,37401,0.0016577096869067672,1.0,603.241935483871,2.0,1206.483870967742,3.0,1809.725806451613,5.0,3016.2096774193546,34.89266666666667,6032.419354838709,74.78533333333334,15081.048387096775,21.0,0.08288548434533836
synergy_van_dis_2020,8938,0.008055493398970687,1.0,124.13888888888889,19.732,248.27777777777777,20.732,372.4166666666667,28.642666666666667,620.6944444444445,104.57066666666668,1241.388888888889,397.3719999999996,3103.472222222222,7.0,0.40277466994853434
synergy_moran_2021,5154,0.02153667054714784,58.154000000000025,46.43243243243245,62.51600000000003,92.8648648648649,76.96400000000001,139.29729729729735,105.85999999999997,232.16216216216225,534.4720000000012,464.3243243243245,1265.578000000002,1160.8108108108113,0.0,1.076833527357392
synergy_leenaars_2020,6711,0.08582923558337056,1.0,11.65104166666667,2.0,23.30208333333334,7.09,34.95312500000001,13.18,58.25520833333335,26.36,116.5104166666667,61.81,291.27604166666674,20.0,4.291461779168528
synergy_van_der_valk_2021,710,0.12253521126760564,1.0,8.160919540229886,4.0,16.32183908045977,5.0,24.482758620689655,8.0,40.804597701149426,15.0,81.60919540229885,50.0,204.02298850574712,25.0,6.126760563380282
synergy_muthu_2021,2687,0.1243021957573502,13.549333333333335,8.044910179640718,14.549333333333335,16.089820359281436,15.549333333333335,24.134730538922156,22.255333333333333,40.224550898203596,38.23599999999999,80.44910179640719,78.33466666666669,201.12275449101796,15.489333333333349,6.21510978786751
synergy_sep_2021,270,0.14814814814814814,1.0,6.75,6.0,13.5,9.0,20.25,12.0,33.75,28.0,67.5,127.0,168.75,14.0,7.4074074074074066
synergy_nelson_2002,358,0.22346368715083798,2.0,4.4750000000000005,3.0,8.950000000000001,4.0,13.425,12.0,22.375,24.0,44.75,57.0,111.875,19.0,11.1731843575419
