feature,use_case,baseline,optimised,prose_only,d_optimised,d_prose_only
cos_brief_jasper,carbon_capture,0.7514939781189666,0.785924427691459,0.785924427691459,0.034430449572492416,0.034430449572492416
cos_brief_jasper,cement_binders,0.8282608695652174,0.8131713554987212,0.8131713554987212,-0.015089514066496168,-0.015089514066496168
cos_brief_jasper,ner,0.7735174081725199,0.74479770242354,0.74479770242354,-0.028719705748979862,-0.028719705748979862
cos_brief_jasper,soil_microbiome,0.6027829463635628,0.6176280236226842,0.6176280236226842,0.01484507725912143,0.01484507725912143
cos_brief_jasper,solar_leo,0.5289813800657175,0.5662212486308873,0.5662212486308873,0.03723986856516981,0.03723986856516981
cos_brief_jasper,tech_forecasting,0.6724805047919521,0.6617655812846003,0.6617655812846003,-0.010714923507351815,-0.010714923507351815
cos_brief_qwen4b,carbon_capture,0.7987956237933254,0.8346051300910178,0.8346051300910178,0.03580950629769242,0.03580950629769242
cos_brief_qwen4b,cement_binders,0.8341432225063938,0.8325447570332482,0.8325447570332482,-0.0015984654731456827,-0.0015984654731456827
cos_brief_qwen4b,ner,0.7513478107522547,0.798810903411095,0.798810903411095,0.0474630926588403,0.0474630926588403
cos_brief_qwen4b,soil_microbiome,0.5195372542674541,0.5537982363886417,0.5537982363886417,0.034260982121187555,0.034260982121187555
cos_brief_qwen4b,solar_leo,0.5919824753559694,0.6530558598028479,0.6530558598028479,0.06107338444687849,0.06107338444687849
cos_brief_qwen4b,tech_forecasting,0.6289660098815406,0.6159890469670815,0.6159890469670815,-0.012976962914459156,-0.012976962914459156
lex_bm25_obj,carbon_capture,0.5078376390548864,0.5604026845637584,0.5604026845637584,0.05256504550887198,0.05256504550887198
lex_bm25_obj,cement_binders,0.648849104859335,0.684079283887468,0.684079283887468,0.03523017902813297,0.03523017902813297
lex_bm25_obj,ner,0.5763591474782084,0.5108580641910616,0.5108580641910616,-0.06550108328714677,-0.06550108328714677
lex_bm25_obj,soil_microbiome,0.5328047892565326,0.5493083083892889,0.5493083083892889,0.016503519132756272,0.016503519132756272
lex_bm25_obj,solar_leo,0.5572398685651697,0.6176998904709748,0.6176998904709748,0.06046002190580513,0.06046002190580513
lex_bm25_obj,tech_forecasting,0.618161795344961,0.5382463241859635,0.5382463241859635,-0.07991547115899744,-0.07991547115899744
lex_bm25_must,carbon_capture,0.7039854739358279,0.7039854739358279,0.7039854739358279,0.0,0.0
lex_bm25_must,cement_binders,0.7916240409207161,0.7994884910485933,0.7916240409207161,0.007864450127877176,0.0
lex_bm25_must,ner,0.720335567088225,0.6047009623620698,0.720335567088225,-0.11563460472615517,0.0
lex_bm25_must,soil_microbiome,0.5959064800582476,0.5959064800582476,0.5959064800582476,0.0,0.0
lex_bm25_must,solar_leo,0.4917415115005476,0.5380503833515882,0.491763417305586,0.046308871851040545,2.190580503835804e-05
lex_bm25_must,tech_forecasting,0.5368176677183165,0.5368176677183165,0.5368176677183165,0.0,0.0
lex_bm25_nice,carbon_capture,0.6941941711869082,0.6941941711869082,0.6941941711869082,0.0,0.0
lex_bm25_nice,cement_binders,0.8115728900255754,0.7891943734015344,0.8115728900255754,-0.022378516624041,0.0
lex_bm25_nice,ner,0.4959943568297476,0.4959943568297476,0.4959943568297476,0.0,0.0
lex_bm25_nice,soil_microbiome,0.5500364048216164,0.5500364048216164,0.5500364048216164,0.0,0.0
lex_bm25_nice,solar_leo,0.5390580503833515,0.5390580503833515,0.5390580503833515,0.0,0.0
lex_bm25_nice,tech_forecasting,0.6228049288648134,0.6228049288648134,0.6228049288648134,0.0,0.0
lex_overlap_must_frac,carbon_capture,0.6649122000551623,0.6649122000551623,0.6649122000551623,0.0,0.0
lex_overlap_must_frac,cement_binders,0.7576726342710998,0.7593350383631714,0.7576726342710998,0.0016624040920716343,0.0
lex_overlap_must_frac,ner,0.6992744495389731,0.6992744495389731,0.6992744495389731,0.0,0.0
lex_overlap_must_frac,soil_microbiome,0.46023784483456026,0.46023784483456026,0.46023784483456026,0.0,0.0
lex_overlap_must_frac,solar_leo,0.46635268346111713,0.5307776560788608,0.46635268346111713,0.06442497261774371,0.0
lex_overlap_must_frac,tech_forecasting,0.5217572474552057,0.5217572474552057,0.5217572474552057,0.0,0.0
