variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
full,carbon_capture,0.7241379310344829,0.5491379310344827,0.7033045977011494,0.7972413793103449
full,cement_binders,0.7888071895424837,0.718341503267974,0.6915849673202614,0.8187908496732028
full,ner,0.3987301587301587,0.6431746031746032,0.6996825396825397,0.6671111111111111
full,soil_microbiome,0.5418546365914787,0.48922305764411034,0.4196741854636592,0.5833082706766917
full,solar_leo,0.5897058823529412,0.5820855614973263,0.5010695187165776,0.6045454545454547
full,tech_forecasting,0.6626344086021506,0.6198156682027649,0.5518433179723503,0.6470046082949308
no_obj,carbon_capture,0.7241379310344829,0.5,0.7033045977011494,0.8067816091954023
no_obj,cement_binders,0.7888071895424837,0.5,0.6915849673202614,0.8073529411764706
no_obj,ner,0.3987301587301587,0.5,0.6996825396825397,0.6601269841269841
no_obj,soil_microbiome,0.5418546365914787,0.5,0.4196741854636592,0.5887218045112782
no_obj,solar_leo,0.5897058823529412,0.5,0.5010695187165776,0.6119251336898396
no_obj,tech_forecasting,0.6626344086021506,0.5,0.5518433179723503,0.6241935483870968
no_prob,carbon_capture,0.7241379310344829,0.5491379310344827,0.7033045977011494,0.8066091954022989
no_prob,cement_binders,0.7888071895424837,0.718341503267974,0.6915849673202614,0.8218954248366014
no_prob,ner,0.3987301587301587,0.6431746031746032,0.6996825396825397,0.6660317460317461
no_prob,soil_microbiome,0.5418546365914787,0.48922305764411034,0.4196741854636592,0.5846115288220551
no_prob,solar_leo,0.5897058823529412,0.5820855614973263,0.5010695187165776,0.5585026737967913
no_prob,tech_forecasting,0.6626344086021506,0.6198156682027649,0.5518433179723503,0.6518433179723503
no_must,carbon_capture,0.7241379310344829,0.5491379310344827,,0.7156321839080461
no_must,cement_binders,0.7888071895424837,0.718341503267974,,0.8206699346405231
no_must,ner,0.3987301587301587,0.6431746031746032,,0.5298412698412698
no_must,soil_microbiome,0.5418546365914787,0.48922305764411034,,0.5776441102756892
no_must,solar_leo,0.5897058823529412,0.5820855614973263,,0.6213903743315508
no_must,tech_forecasting,0.6626344086021506,0.6198156682027649,,0.6622119815668203
no_nice,carbon_capture,0.5,0.5491379310344827,0.7033045977011494,0.7759770114942529
no_nice,cement_binders,0.5,0.718341503267974,0.6915849673202614,0.7781045751633987
no_nice,ner,0.5,0.6431746031746032,0.6996825396825397,0.6911746031746031
no_nice,soil_microbiome,0.5,0.48922305764411034,0.4196741854636592,0.5866666666666667
no_nice,solar_leo,0.5,0.5820855614973263,0.5010695187165776,0.6108021390374331
no_nice,tech_forecasting,0.5,0.6198156682027649,0.5518433179723503,0.5818740399385561
