variant,use_case,n_labels,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
lexical only (Tier 1b),carbon_capture,25,0.14958773954030682,0.2861093164817749,0.0492647058823529,0.678971747174606,0.47965686274509794
lexical only (Tier 1b),carbon_capture,50,0.16608886466688055,0.3055515360186286,0.06255060728744934,0.7127326002987611,0.47692307692307695
lexical only (Tier 1b),carbon_capture,100,0.16562771629945625,0.3142253176480317,0.05186125211505919,0.7396603101068586,0.4783756345177663
lexical only (Tier 1b),carbon_capture,200,0.1795507255887195,0.3412122288945997,0.06752577319587626,0.775249770299902,0.48773195876288666
lexical only (Tier 1b),cement_binders,25,0.14110776507592618,0.2679808543597552,0.12918424753867788,0.8182442557086796,0.33270042194092825
lexical only (Tier 1b),cement_binders,50,0.143510016104029,0.28369569080045803,0.17012578616352197,0.8569526047368826,0.3316037735849057
lexical only (Tier 1b),cement_binders,100,0.14576787519193599,0.28251245858456225,0.1919753086419753,0.8700523823962083,0.3323045267489712
lexical only (Tier 1b),cement_binders,200,0.14627947277856224,0.2848239229309176,0.1919354838709677,0.8847148075772843,0.3268817204301075
lexical only (Tier 1b),ner,25,0.10793441385467871,0.2155309772774866,0.03524970963995349,0.6349866686788943,0.27098722415795584
lexical only (Tier 1b),ner,50,0.108265763328124,0.22230223692586634,0.03117048346055975,0.6537991212244745,0.2712213740458015
lexical only (Tier 1b),ner,100,0.11130627995421859,0.22928747071395922,0.033962264150943354,0.6818068349232164,0.2736477987421384
lexical only (Tier 1b),ner,200,0.1157366557213801,0.23294741875705452,0.05416666666666661,0.7193242710197754,0.26916666666666667
lexical only (Tier 1b),soil_microbiome,25,0.1269325314638561,0.24398637767707806,0.018875502008032084,0.5479228460601242,0.7002911646586346
lexical only (Tier 1b),soil_microbiome,50,0.14456011633944135,0.2671096760411968,0.028393051031487468,0.586013681087283,0.7007926167209553
lexical only (Tier 1b),soil_microbiome,100,0.15803298954926895,0.3074841436564559,0.05402075226977947,0.635749750140357,0.7025810635538262
lexical only (Tier 1b),soil_microbiome,200,0.1776849226322834,0.33549626162454066,0.088004246284501,0.6899717557519802,0.6978768577494692
lexical only (Tier 1b),solar_leo,25,0.11208675103831091,0.2187350509558639,0.00631840796019896,0.5643571913506018,0.22138308457711442
lexical only (Tier 1b),solar_leo,50,0.11436619444355385,0.22166015818192367,0.005053763440860171,0.5806212360567606,0.21921505376344083
lexical only (Tier 1b),solar_leo,100,0.11524212765759763,0.22614952082310008,0.012564102564102524,0.5929592284710244,0.21630769230769226
lexical only (Tier 1b),solar_leo,200,0.11943765641502568,0.22562012969320713,0.017916666666666626,0.6085495466027496,0.22364583333333332
