use_case,n_pos,n_neg,n_labels,auc,auc_sd,recall10,recall10_sd,auc_floor,recall10_floor,auc_gain,recall10_gain
nykvist_evcharging,2,10,12,0.8757992424242425,0.033338758920531834,0.5267583333333319,0.11474836631153569,0.8621685606060606,0.5340909090909091,0.013630681818181833,-0.0073325757575771755
nykvist_evcharging,2,20,22,0.8527367424242425,0.0495411481077199,0.4954545454545455,0.1227798708836871,0.8621685606060606,0.5340909090909091,-0.009431818181818152,-0.03863636363636358
nykvist_evcharging,2,50,52,0.8598636363636363,0.03942172615956719,0.4956810606060594,0.12332440465409586,0.8621685606060606,0.5340909090909091,-0.0023049242424243443,-0.038409848484849685
nykvist_evcharging,2,100,102,0.8537291666666667,0.03867317087747719,0.49371515151515083,0.12858284584693794,0.8621685606060606,0.5340909090909091,-0.008439393939393969,-0.04037575757575823
nykvist_evcharging,3,10,13,0.9025852272727273,0.0413646010994444,0.5875,0.1242539721166968,0.8621685606060606,0.5340909090909091,0.040416666666666656,0.05340909090909096
nykvist_evcharging,3,20,23,0.885623106060606,0.06968279906791161,0.5784484848484841,0.1688001308321851,0.8621685606060606,0.5340909090909091,0.023454545454545395,0.04435757575757504
nykvist_evcharging,3,50,53,0.9012329545454545,0.03757411533022359,0.5894659090909086,0.13138718529094642,0.8621685606060606,0.5340909090909091,0.03906439393939387,0.05537499999999951
nykvist_evcharging,3,100,103,0.8943825757575757,0.042441872435957186,0.5778553030303024,0.13532213683854177,0.8621685606060606,0.5340909090909091,0.03221401515151512,0.04376439393939335
nykvist_evcharging,5,10,15,0.8912367424242424,0.027847932916308233,0.5996931818181812,0.09659098663098396,0.8621685606060606,0.5340909090909091,0.029068181818181826,0.06560227272727215
nykvist_evcharging,5,20,25,0.9114015151515151,0.021788174631583945,0.6508295454545449,0.07150347835843546,0.8621685606060606,0.5340909090909091,0.04923295454545451,0.1167386363636358
nykvist_evcharging,5,50,55,0.9113560606060606,0.01697760950878215,0.6449007575757568,0.06066926838410535,0.8621685606060606,0.5340909090909091,0.04918749999999994,0.11080984848484776
nykvist_evcharging,5,100,105,0.916871212121212,0.01175102721268488,0.6511363636363636,0.05038590744862582,0.8621685606060606,0.5340909090909091,0.05470265151515141,0.11704545454545456
nykvist_evcharging,10,10,20,0.9200549242424241,0.03055010331500362,0.6871931818181811,0.09893931011876306,0.8621685606060606,0.5340909090909091,0.05788636363636346,0.15310227272727206
nykvist_evcharging,10,20,30,0.919155303030303,0.02239782640564547,0.6704545454545455,0.09005278525526796,0.8621685606060606,0.5340909090909091,0.0569867424242424,0.13636363636363646
