use_case,pop_n,prevalence,cos_to_1pos,rand_to_1pos,cos_to_2pos,rand_to_2pos,cos_to_3pos,rand_to_3pos,cos_to_5pos,rand_to_5pos,cos_to_10pos,rand_to_10pos,cos_to_25pos,rand_to_25pos,pos_per_50_cos,pos_per_50_rand
synergy_radjenovic_2013,5889,0.008150789607743252,1.0,122.68749999999997,2.0,245.37499999999994,3.0,368.06249999999994,5.0,613.4374999999999,10.0,1226.8749999999998,71.728,3067.1874999999995,20.0,0.4075394803871626
synergy_hall_2012,8724,0.011921137093076567,1.0,83.8846153846154,2.0,167.7692307692308,3.0,251.65384615384622,5.0,419.423076923077,10.0,838.846153846154,30.746666666666666,2097.115384615385,38.50666666666666,0.5960568546538284
synergy_walker_2018,46379,0.01446775480282024,1.0,69.11922503725783,2.0,138.23845007451567,3.0,207.3576751117735,5.0,345.59612518628916,10.0,691.1922503725783,25.0,1727.9806259314457,50.0,0.723387740141012
synergy_wassenaar_2017,7217,0.014548981571290013,1.0,68.73333333333332,2.0,137.46666666666664,3.0,206.19999999999996,5.0,343.6666666666666,10.0,687.3333333333331,25.0,1718.333333333333,38.0,0.7274490785645006
nykvist_evcharging,11853,0.037121403864000674,1.0,26.938636363636366,2.0,53.87727272727273,3.0,80.81590909090909,5.0,134.6931818181818,10.0,269.3863636363636,25.0,673.4659090909091,36.0,1.8560701932000336
synergy_menon_2022,969,0.07636738906088751,22.0,13.094594594594595,23.0,26.18918918918919,32.0,39.28378378378378,46.0,65.47297297297297,62.0,130.94594594594594,121.0,327.3648648648649,6.0,3.8183694530443755
synergy_jeyaraman_2020,1164,0.07903780068728522,5.0,12.652173913043478,6.0,25.304347826086957,7.0,37.95652173913044,9.0,63.26086956521739,27.0,126.52173913043478,92.0,316.304347826087,14.0,3.951890034364261
