,nykvist_evcharging,roadfreight_metareview,synergy_appenzeller-herzog_2019,synergy_bos_2018,synergy_brouwer_2019,synergy_chou_2003,synergy_chou_2004,synergy_donners_2021,synergy_hall_2012,synergy_jeyaraman_2020,synergy_leenaars_2019,synergy_leenaars_2020,synergy_meijboom_2021,synergy_menon_2022,synergy_moran_2021,synergy_muthu_2021,synergy_nelson_2002,synergy_oud_2018,synergy_radjenovic_2013,synergy_sep_2021,synergy_smid_2020,synergy_van_de_schoot_2018,synergy_van_der_valk_2021,synergy_van_der_waal_2022,synergy_van_dis_2020,synergy_walker_2018,synergy_wassenaar_2017,synergy_wolters_2018,carbon_capture,cement_binders,ner,soil_microbiome,solar_leo,tech_forecasting
nykvist_evcharging,0.835555646272592,0.521091396049548,0.3316983194425468,0.7592151222519006,0.4576651051362651,0.4485200845665962,0.38878607169785456,0.47242798353909465,0.49325573005657025,0.5289620018535681,0.6388164238948384,0.34691286782928615,0.31101871101871104,0.5943621201667817,0.5598067203005475,0.4409994904382231,0.568444055944056,0.4700107296137339,0.3655335201857199,0.4494588744588745,0.4856552706552706,0.6892272291914874,0.6098862271217581,0.5737238153345535,0.43061996957204557,0.525803941478436,0.47566661540460664,0.5214839164123033,0.3541417670313506,0.5309462915601023,0.5503602559580792,0.6500283148612571,0.40595837897042714,0.4977677242693018
roadfreight_metareview,0.6459443178831157,0.6975225979243387,0.33045498018855035,0.5793096363262791,0.4964795627714875,0.3918957011980268,0.4764548632531359,0.3736625514403292,0.27649625521216037,0.5942133920296572,0.28471806323910065,0.3538300493377051,0.20348632656324964,0.6594774574796773,0.6037845605746841,0.6408863377495354,0.5238199300699301,0.5060622317596566,0.2870378234528056,0.4443722943722944,0.4466239316239316,0.7273518349802602,0.5331072009045297,0.37738771295818274,0.5636065407832744,0.5685688829601904,0.5973186366199467,0.4673076210130868,0.4169807851429622,0.6095268542199488,0.486572277926135,0.6905994660626162,0.455684556407448,0.5149116018810644
synergy_appenzeller-herzog_2019,0.27350419776490925,0.6292266488115166,0.8763219018991666,0.48859667146085883,0.669298040372597,0.7694855532064835,0.6441839742271575,0.5947873799725651,0.6509944049505565,0.7575976984862527,0.14619093539054967,0.6525472741903038,0.6894290740444586,0.40482046974832764,0.485914485914486,0.6359412155546231,0.4647727272727273,0.7148068669527896,0.6099810316516618,0.5356060606060606,0.5916666666666667,0.4122456607564183,0.3540385838456646,0.5371943492748862,0.7549476099332548,0.5225069877897568,0.6338589482694287,0.5783665550351578,0.5570469798657718,0.4521739130434782,0.4925681463193429,0.6113987541461048,0.5077327491785323,0.46502768021906066
synergy_bos_2018,0.5460964569908318,0.5026782725142284,0.6144008744363985,0.9855557838504212,0.7789538000630717,0.5716701902748414,0.45424634998971825,0.5835390946502057,0.804178802553184,0.7415141334569045,0.4048520529868548,0.3778432952360806,0.4779465856388933,0.6531931487536371,0.4910165897820219,0.5684548788042284,0.4840472027972028,0.4585836909871244,0.7780561689598551,0.6106060606060606,0.6094444444444445,0.4151774242530427,0.6508020634584128,0.39153017005366,0.4798322781703965,0.5798345301340484,0.6638573865648102,0.9535843600548682,0.4086145076767491,0.43554987212276214,0.5106061369476494,0.5741849364938112,0.5048849945235487,0.5033037680814335
synergy_brouwer_2019,0.5266430625363421,0.5485436893203884,0.6804208225167372,0.7456544072323814,0.9938301746676026,0.7039112050739957,0.5085338268558504,0.5015089163237312,0.9127378117336685,0.7060453351869014,0.6673196975079937,0.41906887265728854,0.7025427794658564,0.4629840717521073,0.4686308883839748,0.5989586455648143,0.4152972027972028,0.676931330472103,0.8773675046713096,0.5731601731601732,0.6143874643874643,0.7553495923563904,0.6342131298141475,0.7323649504857559,0.7372559935708677,0.696891415222376,0.8230266789218754,0.7990014952855254,0.4730164567435874,0.4035166240409207,0.458658739356074,0.629358466143516,0.42041621029572834,0.5269956545032443
synergy_chou_2003,0.5229492086376779,0.6188483428188818,0.7099603771006968,0.6276145469488391,0.6574076899861989,0.8879844961240309,0.6742065940091849,0.7190672153635117,0.6650749842860558,0.7598760426320668,0.4438207379586865,0.5955644542470038,0.7185990724452264,0.422203557608663,0.4640901924852542,0.5747575834782087,0.6919580419580419,0.5820815450643777,0.704521969310911,0.5212121212121212,0.6227777777777777,0.6444273132898826,0.5587060985089393,0.694419674285446,0.6766370362190812,0.5568831664780766,0.5826350367835084,0.3081647532778883,0.512365541969293,0.5131074168797954,0.49035118657731647,0.6059380309036486,0.48240963855421687,0.46984939579736895
synergy_chou_2004,0.42015703782767655,0.5790090391697355,0.6068042082251673,0.4200328744606534,0.4767273052495227,0.8662790697674418,0.7073137295222427,0.7322359396433471,0.5937928813619341,0.7864631603336423,0.345845810282698,0.6230618255987823,0.6114824884055654,0.44669586345502,0.48140027152372833,0.5752546559958436,0.6271416083916084,0.5907725321888413,0.5796493686654209,0.475,0.6327635327635328,0.3993505735043334,0.40062539749841003,0.5115689679448068,0.6415666715744013,0.5370856271091953,0.6561054901666254,0.22913705960133957,0.5205479452054794,0.5779411764705882,0.44344233385398296,0.6595744680851063,0.4743921139101862,0.4453241264360974
synergy_donners_2021,0.42995607082832177,0.4598259122865752,0.6191419592840552,0.6181836860489007,0.6523962964093278,0.5204369274136715,0.4935910617588595,0.8282578875171468,0.7194230990553928,0.7055819431572444,0.13686240674009037,0.6076002411927323,0.5476731169038861,0.3923868374478808,0.49194520799459074,0.5443343724397018,0.5063811188811189,0.4932403433476395,0.6098288602004416,0.4819264069264069,0.6575213675213675,0.4956198752540472,0.424810967422797,0.45639148323712087,0.6252009103847664,0.4725231368567058,0.6220794037387923,0.3252678538327505,0.5821917808219179,0.47020460358056265,0.4619841789691138,0.7058085915379014,0.4777217962760131,0.4957437942734687
synergy_hall_2012,0.5934722565176871,0.6131570137261467,0.5310151660062851,0.7889665091432093,0.8514770110850008,0.5702607470049331,0.4074302556720817,0.4299039780521262,0.9914137680710359,0.6437673772011121,0.5450337512054001,0.4988518458606308,0.5546457700303855,0.45977442481327047,0.5394530332801938,0.5657796794756509,0.4798513986013985,0.4886802575107296,0.942599513051356,0.5768398268398268,0.7197435897435898,0.6746676945359404,0.4596141615433539,0.4749143473975689,0.45295629662347864,0.5340577876663161,0.4567854873531729,0.4828783628477157,0.44534338512457483,0.46221227621483374,0.5185670378394719,0.672842003074185,0.40245345016429357,0.4391332817429609
synergy_jeyaraman_2020,0.4438301020367523,0.4872782055574154,0.5181035660609372,0.5110334908567906,0.6103782430155,0.8275546159267089,0.4970183014600042,0.6957475994513032,0.5851208867091017,0.7388882452888478,0.3822869613764401,0.7861929085603718,0.7442827442827443,0.4152593214746378,0.5161351828018494,0.7057730351897369,0.702229020979021,0.6020922746781115,0.6682520808561236,0.5531385281385282,0.6826495726495726,0.47744527764150724,0.4803194120556851,0.49393782950829934,0.5294080658617982,0.5003936611593924,0.4461384767061623,0.3875755366344954,0.6447090190309828,0.5829283887468031,0.40822290522497107,0.6562980341396327,0.41677984665936474,0.5213405559854754
synergy_leenaars_2019,0.30694413467895465,0.4979912956143287,0.4528077606230359,0.4733716868707623,0.7053043712678406,0.4588090204369274,0.45308108849132905,0.5212620027434842,0.4430701505882769,0.5980267222737101,0.9901233314723646,0.45956444284064063,0.3941787941787942,0.5836457989621142,0.4146933529649579,0.46400845273065167,0.28321678321678323,0.3637607296137339,0.4295375403431289,0.5215367965367965,0.5374074074074074,0.4704078772163431,0.6621440180905944,0.5494125561239656,0.48864166175893203,0.7013931197232094,0.8467526677133663,0.6087171438810691,0.6206674634549969,0.3130434782608696,0.4557363833324936,0.639147318178141,0.4893318729463308,0.4523483540686946
synergy_leenaars_2020,0.5235263017452187,0.5525610980917308,0.627421778931548,0.5065029792479967,0.7104749273489928,0.7875264270613108,0.5564466378778532,0.689437585733882,0.6665899413050984,0.7450764596848933,0.26353347206009237,0.833070727746704,0.7428754197984968,0.47366289708132103,0.4757967844387598,0.6109608236916251,0.5355769230769231,0.5583690987124463,0.6364712502123322,0.5225108225108226,0.6950854700854701,0.4716109514798981,0.41306268108260896,0.5461428951361837,0.6590750147232037,0.6521015079467789,0.6359428106152998,0.4187540934985974,0.5974073733566241,0.48452685421994884,0.42656320854537205,0.5914570018606908,0.38738225629791895,0.5383653788916007
synergy_meijboom_2021,0.4157756704874027,0.5545698024774022,0.7462221614974723,0.42366961167043354,0.8895806417703449,0.8064129668780832,0.4609637398039619,0.5906721536351166,0.7405627805271032,0.7064218412109979,0.275739735065726,0.5217696920489354,0.8873180873180874,0.23302936676965536,0.5714091516560652,0.6196695841576245,0.5576486013986014,0.6347639484978541,0.723592944906857,0.5143939393939394,0.5753276353276353,0.6866750765061789,0.4538195180552611,0.563179549756731,0.5795497766980762,0.5314270521205605,0.7687395613159805,0.2880587239406335,0.4754987588489473,0.3426470588235294,0.42736937572429085,0.672680203867001,0.4860460021905805,0.5369962497767725
synergy_menon_2022,0.5709944998924671,0.5545698024774021,0.3927039213007241,0.8378878159030203,0.5950424800697178,0.594291754756871,0.3875522654054424,0.547599451303155,0.8767163610931593,0.7024733549582947,0.44999238694615035,0.512425677175038,0.3694226771149848,0.8185499595044546,0.6159545789175419,0.5448276981795656,0.533479020979021,0.42741416309012875,0.7098196591359492,0.6167748917748918,0.669017094017094,0.5210012381152616,0.5587060985089394,0.4253844589415059,0.5460483534550452,0.7476032738361889,0.7197854861610321,0.44616354222019006,0.4017651926082559,0.5368286445012788,0.4852118708117097,0.6435967963756978,0.44495071193866376,0.54616346211084
synergy_moran_2021,0.6316082935727201,0.49330431871442915,0.5452657466867058,0.8179987672077255,0.658786957067239,0.6336856941508104,0.42634861882240044,0.627434842249657,0.8434083323742664,0.5762086808773556,0.676962899050906,0.43932527733016447,0.47282904205981136,0.7327443981162073,0.43559785535094175,0.3961268309254041,0.3499125874125874,0.484549356223176,0.8081861163014552,0.5102813852813853,0.6031481481481481,0.617212138201696,0.5966362801215462,0.6789943836923703,0.588425107970161,0.8608659715931275,0.8985154268997064,0.754921466615588,0.42038245839845545,0.30447570332480817,0.4757897919080969,0.5864007766361945,0.4227820372398686,0.4958033216262873
synergy_muthu_2021,0.5754153955218531,0.6034482758620688,0.6163137040579314,0.7460653379905485,0.7710677324408365,0.6896053558844256,0.5741997395297826,0.5890260631001372,0.855760377842896,0.794524250849552,0.3608283002588438,0.5849286687529942,0.6699504237965777,0.29555748867624565,0.5026207865714039,0.7697754930759547,0.6758741258741259,0.6530579399141632,0.8193972594983296,0.5427489177489178,0.6673789173789174,0.6408180904992173,0.5245742350363932,0.5540589164750238,0.4913930604632901,0.48060546833953305,0.3832244312593658,0.4082253061628007,0.4540314424933346,0.5251278772378517,0.43306293142540436,0.6468327805193755,0.47452354874041625,0.49455324721709626
synergy_nelson_2002,0.571245409939224,0.5836960160696351,0.6063669900259598,0.910602013560715,0.7707188889227983,0.8432699083861874,0.5467818219206251,0.4395061728395062,0.8195618686756907,0.7582638245288847,0.30560828300258847,0.5031077154713836,0.524036462498001,0.5916849146593874,0.5197596185250506,0.5985833433247407,0.7265734265734266,0.5983369098712445,0.755028735632184,0.5410173160173161,0.5813247863247863,0.4828999929918004,0.6316338067981061,0.5673409364684532,0.7444956689242246,0.658752089147274,0.8217355902945422,0.7842092905426279,0.4555484048910546,0.4994245524296675,0.4715574142187736,0.7011973141331608,0.4519167579408543,0.47907613548425504
