surface,predictor,n,rho,p,ci_lo,ci_hi,rho_given_prevalence,jack_min,jack_max,clears_bar
A (burned),margin_jasper,7,-0.9285714285714288,0.002519472403794688,-1.0,-0.411764705882353,-0.9285714285714288,-0.942857142857143,-0.8857142857142858,True
A (burned),margin_qwen4b,7,-0.5714285714285715,0.18020198891152753,-1.0,0.33333333333333337,-0.42857142857142866,-0.7714285714285715,-0.3142857142857143,True
A (burned),margin_lexical,7,-0.28571428571428575,0.5345092286010408,-0.8867924528301889,0.6862745098039215,-0.28571428571428575,-0.5428571428571429,-0.14285714285714288,False
B (clean),margin_jasper,7,-0.4642857142857144,0.29393410760025185,-1.0,0.7647058823529412,0.14285714285714288,-0.7142857142857143,-0.14285714285714288,False
B (clean),margin_qwen4b,7,-0.03571428571428572,0.9394082054712856,-0.8867924528301889,1.0,0.14285714285714288,-0.3142857142857143,0.5428571428571429,False
B (clean),margin_lexical,7,-0.21428571428571433,0.6445115810207203,-1.0,0.8888888888888891,-0.07142857142857144,-0.6,0.2571428571428572,False
