representation,use_case,n_labels,roc_auc,pr_auc,recall_at_10pct,f2_at_0.5
embedding,carbon_capture,0,0.6159183673469387,0.5861321783595527,0.12244897959183673,0.27993779160186627
embedding,carbon_capture,25,0.718155610098609,0.704984289217757,0.15909056809908081,0.6548770449402811
embedding,carbon_capture,50,0.7365162115959427,0.7252032508629648,0.1676053845258684,0.6640979800483975
embedding,carbon_capture,100,0.7579949350454867,0.7484188211516077,0.1731718037288818,0.6878138859321904
embedding,carbon_capture,200,0.7576739689841011,0.7488409743553032,0.1855113790748601,0.7007704703203376
embedding,cement_binders,0,0.644693094629156,0.7212604260798801,0.09411764705882353,0.6476997578692494
embedding,cement_binders,25,0.8298457881353927,0.882681992427344,0.1443716020214782,0.8796098121756728
embedding,cement_binders,50,0.8407316926792473,0.892259934391315,0.14403101724035172,0.861385444425355
embedding,cement_binders,100,0.8430357840255189,0.8861025626117417,0.1418055774622602,0.8616722177152303
embedding,cement_binders,200,0.836258524429218,0.8733273745162944,0.13089290199550818,0.8550946766440419
embedding,ner,0,0.47301859223056386,0.6848894682058045,0.08968609865470852,0.15991471215351813
embedding,ner,25,0.6325015671725078,0.8043208931944358,0.1195028206951777,0.804201705315774
embedding,ner,50,0.6662244356387015,0.828912938965522,0.12536906853303503,0.8073748149531909
embedding,ner,100,0.6815867262324717,0.8390728833577629,0.12662140346873552,0.7882906933364892
embedding,ner,200,0.7220832660766036,0.8658382038772447,0.12772291305954175,0.7895084396931182
embedding,soil_microbiome,0,0.5268586683925249,0.26475956037711634,0.07446808510638298,0.012953367875647668
embedding,soil_microbiome,25,0.6628833009493527,0.4325453900807946,0.19988061675030214,0.3650272447886379
embedding,soil_microbiome,50,0.6910289689722755,0.4573473337119494,0.20269207192401947,0.41430969898747555
embedding,soil_microbiome,100,0.7090511369155916,0.48856907748565215,0.2232276487959154,0.4587255354586028
embedding,soil_microbiome,200,0.6931130667540256,0.4708818851550862,0.22914733090361,0.4641978004876544
embedding,solar_leo,0,0.443495514147688,0.7297363136192612,0.08333333333333333,0.11800699300699301
embedding,solar_leo,25,0.5528975191173214,0.7924862981569133,0.10518553714443338,0.8399027264832801
embedding,solar_leo,50,0.606715775144852,0.8216408470312093,0.11043464913369255,0.827493852727515
embedding,solar_leo,100,0.644450156587072,0.8488549098703742,0.1172734308488775,0.8107389667774791
embedding,solar_leo,200,0.6562012383349274,0.8510184757368606,0.11713708263711481,0.8193225287123063
embedding,tech_forecasting,0,0.5152092386451574,0.5990574782441465,0.08280254777070063,0.09216589861751152
embedding,tech_forecasting,25,0.6228915424883615,0.6900990286494225,0.12025252361061665,0.7213494786844616
embedding,tech_forecasting,50,0.6522359335162499,0.7122999294891775,0.12274210707520894,0.7186656405559614
embedding,tech_forecasting,100,0.6815540304380358,0.7349127871391528,0.13372819263205996,0.7296531184722361
embedding,tech_forecasting,200,0.6892114865707427,0.7388420794722002,0.11610837989128735,0.7271081703643699
Tier 1b,carbon_capture,0,0.7435827664399093,0.7215986856397065,0.17006802721088435,0.8323699421965318
Tier 1b,carbon_capture,25,0.676053954619793,0.6638527903151961,0.14839680801717622,0.6231283772046559
Tier 1b,carbon_capture,50,0.7179826516845881,0.7063143065647104,0.16771053519167314,0.6468481614033827
Tier 1b,carbon_capture,100,0.7402837712685849,0.720284694935897,0.1673744788304241,0.6786403770831078
Tier 1b,carbon_capture,200,0.7775299695155979,0.7574010260932081,0.17854673517434994,0.7078717834185337
Tier 1b,cement_binders,0,0.8896419437340154,0.9321278768346386,0.15294117647058825,0.07959479015918958
Tier 1b,cement_binders,25,0.8227921331894683,0.8715668814150649,0.14125178233206978,0.8108394349550463
Tier 1b,cement_binders,50,0.8542947630719142,0.8991752648450221,0.14430982642852447,0.8355036539575356
Tier 1b,cement_binders,100,0.8655255066323142,0.9037150852686814,0.14565676375338937,0.8356917740244256
Tier 1b,cement_binders,200,0.8773477895774414,0.9218479686361438,0.14617617620083512,0.8395663504134325
Tier 1b,ner,0,0.673250365294503,0.79623376073982,0.10762331838565023,0.8894645941278065
Tier 1b,ner,25,0.634862862793536,0.7791817483671469,0.10725807353478604,0.7169959331466083
Tier 1b,ner,50,0.6545032484268465,0.793080483629881,0.10896323340211539,0.7320785242844496
Tier 1b,ner,100,0.6806556181467899,0.8086539161056747,0.11188113425836498,0.7389534204001451
Tier 1b,ner,200,0.7193933674807289,0.8383046723169936,0.11527467378697973,0.7298381340754143
Tier 1b,soil_microbiome,0,0.594045789175633,0.36246002733362104,0.1702127659574468,0.5443886097152428
Tier 1b,soil_microbiome,25,0.5330435253026402,0.3050297038657155,0.12435476232555912,0.3849216256812815
Tier 1b,soil_microbiome,50,0.5892615089711645,0.34516270580224073,0.14439052838903652,0.46028234446748106
Tier 1b,soil_microbiome,100,0.6418929344028038,0.39127556615740483,0.166940498746514,0.5253872278720648
Tier 1b,soil_microbiome,200,0.6824758859131557,0.42955916223176227,0.1745266389494842,0.571461970203373
