variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
full,synergy_brouwer_2019,0.7351333333333333,0.7518,0.8753,0.95
full,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,0.7481086956521739,0.7986420289855072
full,synergy_moran_2021,0.47750000000000004,0.5910227272727273,0.4867424242424242,0.5744090909090909
full,synergy_muthu_2021,0.5617910447761194,0.640136815920398,0.6049067164179104,0.7318383084577114
full,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,0.6237331081081081,0.615990990990991
full,synergy_sep_2021,0.49592391304347827,0.5054347826086956,0.7785326086956521,
full,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,0.7876075731497418,0.8194836488812391
full,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,0.8358045977011495,0.8984137931034482
no_obj,synergy_brouwer_2019,0.7351333333333333,0.5,0.8753,0.9540000000000001
no_obj,synergy_leenaars_2020,0.625286231884058,0.5,0.7481086956521739,0.8032840579710145
no_obj,synergy_moran_2021,0.47750000000000004,0.5,0.4867424242424242,0.5590151515151515
no_obj,synergy_muthu_2021,0.5617910447761194,0.5,0.6049067164179104,0.7327885572139303
no_obj,synergy_nelson_2002,0.5423704954954955,0.5,0.6237331081081081,0.6145833333333333
no_obj,synergy_sep_2021,0.49592391304347827,0.5,0.7785326086956521,
no_obj,synergy_van_der_valk_2021,0.6932874354561102,0.5,0.7876075731497418,0.8089271371199083
no_obj,synergy_van_dis_2020,0.7121264367816091,0.5,0.8358045977011495,0.8923218390804598
no_prob,synergy_brouwer_2019,0.7351333333333333,0.7518,0.8753,0.9431733333333334
no_prob,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,0.7481086956521739,0.8030202898550725
no_prob,synergy_moran_2021,0.47750000000000004,0.5910227272727273,0.4867424242424242,0.5762348484848484
no_prob,synergy_muthu_2021,0.5617910447761194,0.640136815920398,0.6049067164179104,0.7285074626865671
no_prob,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,0.6237331081081081,0.6141328828828829
no_prob,synergy_sep_2021,0.49592391304347827,0.5054347826086956,0.7785326086956521,
no_prob,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,0.7876075731497418,0.8185197934595525
no_prob,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,0.8358045977011495,0.9020689655172415
no_must,synergy_brouwer_2019,0.7351333333333333,0.7518,,0.9312666666666667
no_must,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,,0.6494942028985508
no_must,synergy_moran_2021,0.47750000000000004,0.5910227272727273,,0.5936363636363636
no_must,synergy_muthu_2021,0.5617910447761194,0.640136815920398,,0.7031616915422886
no_must,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,,0.5824887387387389
no_must,synergy_sep_2021,0.49592391304347827,0.5054347826086956,,
no_must,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,,0.7594033275960987
no_must,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,,0.8672988505747126
no_nice,synergy_brouwer_2019,0.5,0.7518,0.8753,0.9413733333333333
no_nice,synergy_leenaars_2020,0.5,0.5541666666666667,0.7481086956521739,0.7756014492753623
no_nice,synergy_moran_2021,0.5,0.5910227272727273,0.4867424242424242,0.5829772727272727
no_nice,synergy_muthu_2021,0.5,0.640136815920398,0.6049067164179104,0.7368407960199004
no_nice,synergy_nelson_2002,0.5,0.5205518018018018,0.6237331081081081,0.619481981981982
no_nice,synergy_sep_2021,0.5,0.5054347826086956,0.7785326086956521,
no_nice,synergy_van_der_valk_2021,0.5,0.7823293172690763,0.7876075731497418,0.8319678714859438
no_nice,synergy_van_dis_2020,0.5,0.8607471264367816,0.8358045977011495,0.8871264367816092
no_exclude,synergy_brouwer_2019,0.7351333333333333,0.7518,0.8753,0.9503066666666667
no_exclude,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,0.7481086956521739,0.8004463768115941
no_exclude,synergy_moran_2021,0.47750000000000004,0.5910227272727273,0.4867424242424242,0.5511666666666668
no_exclude,synergy_muthu_2021,0.5617910447761194,0.640136815920398,0.6049067164179104,0.7300845771144278
no_exclude,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,0.6237331081081081,0.6170608108108109
no_exclude,synergy_sep_2021,0.49592391304347827,0.5054347826086956,0.7785326086956521,
no_exclude,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,0.7876075731497418,0.8209064830751578
no_exclude,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,0.8358045977011495,0.889735632183908
no_domain,synergy_brouwer_2019,0.7351333333333333,0.7518,0.8753,0.9427066666666667
no_domain,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,0.7481086956521739,0.8011840579710144
no_domain,synergy_moran_2021,0.47750000000000004,0.5910227272727273,0.4867424242424242,0.583469696969697
no_domain,synergy_muthu_2021,0.5617910447761194,0.640136815920398,0.6049067164179104,0.7155398009950249
no_domain,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,0.6237331081081081,0.6210585585585585
no_domain,synergy_sep_2021,0.49592391304347827,0.5054347826086956,0.7785326086956521,
no_domain,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,0.7876075731497418,0.8153987378083762
no_domain,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,0.8358045977011495,0.898367816091954
only_name,synergy_brouwer_2019,0.5,0.5,,0.9364800000000001
only_name,synergy_leenaars_2020,0.5,0.5,,0.7225782608695652
only_name,synergy_moran_2021,0.5,0.5,,0.5901704545454545
only_name,synergy_muthu_2021,0.5,0.5,,0.545221393034826
only_name,synergy_nelson_2002,0.5,0.5,,0.591525900900901
only_name,synergy_sep_2021,0.5,0.5,,
only_name,synergy_van_der_valk_2021,0.5,0.5,,0.7334480780263912
only_name,synergy_van_dis_2020,0.5,0.5,,0.5342298850574713
fluff_replace,synergy_brouwer_2019,0.7351333333333333,0.49673333333333336,0.8753,0.9485866666666667
fluff_replace,synergy_leenaars_2020,0.625286231884058,0.3491304347826087,0.7481086956521739,0.8304710144927536
fluff_replace,synergy_moran_2021,0.47750000000000004,0.583939393939394,0.4867424242424242,0.5705757575757575
fluff_replace,synergy_muthu_2021,0.5617910447761194,0.4938681592039801,0.6049067164179104,0.7202736318407961
fluff_replace,synergy_nelson_2002,0.5423704954954955,0.39639639639639634,0.6237331081081081,0.6377815315315315
fluff_replace,synergy_sep_2021,0.49592391304347827,0.48573369565217395,0.7785326086956521,
fluff_replace,synergy_van_der_valk_2021,0.6932874354561102,0.5663798049340218,0.7876075731497418,0.80390131956397
fluff_replace,synergy_van_dis_2020,0.7121264367816091,0.41517241379310343,0.8358045977011495,0.898080459770115
fluff_added,synergy_brouwer_2019,0.7351333333333333,0.7328666666666667,0.8753,0.9406800000000001
fluff_added,synergy_leenaars_2020,0.625286231884058,0.496536231884058,0.7481086956521739,0.8264275362318841
fluff_added,synergy_moran_2021,0.47750000000000004,0.6083333333333334,0.4867424242424242,0.6113712121212121
fluff_added,synergy_muthu_2021,0.5617910447761194,0.6101492537313433,0.6049067164179104,0.7178407960199005
fluff_added,synergy_nelson_2002,0.5423704954954955,0.5050675675675675,0.6237331081081081,0.6291666666666667
fluff_added,synergy_sep_2021,0.49592391304347827,0.4932065217391305,0.7785326086956521,
fluff_added,synergy_van_der_valk_2021,0.6932874354561102,0.7959839357429719,0.7876075731497418,0.8197590361445783
fluff_added,synergy_van_dis_2020,0.7121264367816091,0.8185057471264368,0.8358045977011495,0.8978620689655173
vague_objective,synergy_brouwer_2019,0.7351333333333333,0.3916,0.8753,0.9560000000000001
vague_objective,synergy_leenaars_2020,0.625286231884058,0.3810579710144928,0.7481086956521739,0.8124246376811592
vague_objective,synergy_moran_2021,0.47750000000000004,0.5032575757575758,0.4867424242424242,0.5492272727272727
vague_objective,synergy_muthu_2021,0.5617910447761194,0.4995646766169154,0.6049067164179104,0.7330472636815919
vague_objective,synergy_nelson_2002,0.5423704954954955,0.45945945945945943,0.6237331081081081,0.617849099099099
vague_objective,synergy_sep_2021,0.49592391304347827,0.4470108695652173,0.7785326086956521,
vague_objective,synergy_van_der_valk_2021,0.6932874354561102,0.46873207114170967,0.7876075731497418,0.8085829030407343
vague_objective,synergy_van_dis_2020,0.7121264367816091,0.3811494252873563,0.8358045977011495,0.8959885057471263
conflicting,synergy_brouwer_2019,0.7351333333333333,0.7518,0.8532666666666666,0.9337333333333333
conflicting,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,0.7160652173913044,0.751036231884058
conflicting,synergy_moran_2021,0.47750000000000004,0.5910227272727273,0.5356439393939393,0.5806287878787878
conflicting,synergy_muthu_2021,0.5617910447761194,0.640136815920398,0.6028544776119402,0.7124800995024876
conflicting,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,0.6309121621621622,0.6193693693693694
conflicting,synergy_sep_2021,0.49592391304347827,0.5054347826086956,0.7516983695652174,
conflicting,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,0.7774526678141136,0.8128973034997131
conflicting,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,0.8143965517241379,0.8796781609195403
keyword_flood,synergy_brouwer_2019,0.6542666666666667,0.7518,0.7080666666666667,0.8867733333333334
keyword_flood,synergy_leenaars_2020,0.546268115942029,0.5541666666666667,0.6588623188405798,0.5786710144927537
keyword_flood,synergy_moran_2021,0.6016287878787878,0.5910227272727273,0.6211742424242425,0.5627121212121212
keyword_flood,synergy_muthu_2021,0.4946268656716417,0.640136815920398,0.5405534825870647,0.6782960199004975
keyword_flood,synergy_nelson_2002,0.4619932432432432,0.5205518018018018,0.511402027027027,0.5288288288288288
keyword_flood,synergy_sep_2021,0.4320652173913044,0.5054347826086956,0.6474184782608696,
keyword_flood,synergy_van_der_valk_2021,0.7138267355134824,0.7823293172690763,0.759609868043603,0.7860240963855423
keyword_flood,synergy_van_dis_2020,0.5357471264367816,0.8607471264367816,0.5792816091954023,0.8612758620689656
must_only_one,synergy_brouwer_2019,0.7351333333333333,0.7518,0.6391666666666667,0.89588
must_only_one,synergy_leenaars_2020,0.625286231884058,0.5541666666666667,0.7553260869565217,0.8255478260869566
must_only_one,synergy_moran_2021,0.47750000000000004,0.5910227272727273,0.49553030303030304,0.6062348484848485
must_only_one,synergy_muthu_2021,0.5617910447761194,0.640136815920398,0.5,0.7006293532338308
must_only_one,synergy_nelson_2002,0.5423704954954955,0.5205518018018018,0.48747184684684686,0.5850788288288289
must_only_one,synergy_sep_2021,0.49592391304347827,0.5054347826086956,0.7445652173913043,
must_only_one,synergy_van_der_valk_2021,0.6932874354561102,0.7823293172690763,0.7177280550774527,0.8177165806081469
must_only_one,synergy_van_dis_2020,0.7121264367816091,0.8607471264367816,0.5773563218390805,0.8720229885057471
fluff_and_flood,synergy_brouwer_2019,0.6542666666666667,0.49673333333333336,0.7080666666666667,0.8573999999999999
fluff_and_flood,synergy_leenaars_2020,0.546268115942029,0.3491304347826087,0.6588623188405798,0.6735478260869565
fluff_and_flood,synergy_moran_2021,0.6016287878787878,0.583939393939394,0.6211742424242425,0.5617196969696969
fluff_and_flood,synergy_muthu_2021,0.4946268656716417,0.4938681592039801,0.5405534825870647,0.6526144278606965
fluff_and_flood,synergy_nelson_2002,0.4619932432432432,0.39639639639639634,0.511402027027027,0.5865427927927929
fluff_and_flood,synergy_sep_2021,0.4320652173913044,0.48573369565217395,0.6474184782608696,
fluff_and_flood,synergy_van_der_valk_2021,0.7138267355134824,0.5663798049340218,0.759609868043603,0.7628915662650602
fluff_and_flood,synergy_van_dis_2020,0.5357471264367816,0.41517241379310343,0.5792816091954023,0.8378735632183909
vague_and_flood,synergy_brouwer_2019,0.6542666666666667,0.3916,0.7080666666666667,0.8907333333333334
vague_and_flood,synergy_leenaars_2020,0.546268115942029,0.3810579710144928,0.6588623188405798,0.6170536231884058
