,Interesting,Not interesting,Pass,Never triaged
Title,0.0,0.0,0.0,0.0
Abstract,0.06747891283973759,0.049681528662420385,0.8471454880294659,0.0
Authors,0.008434864104967198,0.007643312101910828,0.014732965009208104,0.006276150627615063
Year,0.004686035613870665,0.003821656050955414,0.007366482504604052,0.006276150627615063
Venue,0.01499531396438613,0.022929936305732482,0.01289134438305709,0.016736401673640166
DOI,0.05154639175257732,0.06878980891719745,0.009208103130755065,0.1297071129707113
Citations,0.09465791940018745,0.1286624203821656,0.16390423572744015,0.2489539748953975
